time	V(v_rl)	V(vi)
9.774224275098902e-003	4.913516e-002	3.543495e-001
9.784224275098901e-003	4.156849e-002	3.386793e-001
9.794224275098901e-003	3.466753e-002	3.230059e-001
9.804224275098901e-003	2.847372e-002	3.073292e-001
9.814224275098900e-003	2.301461e-002	2.916495e-001
9.824224275098900e-003	1.829809e-002	2.759669e-001
9.834224275098899e-003	1.430832e-002	2.602816e-001
9.844224275098899e-003	1.100486e-002	2.445937e-001
9.854224275098899e-003	8.325868e-003	2.289034e-001
9.864224275098898e-003	6.194809e-003	2.132108e-001
9.874224275098898e-003	4.528634e-003	1.975161e-001
9.884224275098897e-003	3.245395e-003	1.818195e-001
9.894224275098897e-003	2.269683e-003	1.661211e-001
9.904224275098897e-003	1.535128e-003	1.504211e-001
9.914224275098896e-003	9.860671e-004	1.347196e-001
9.924224275098896e-003	5.782855e-004	1.190167e-001
9.934224275098895e-003	2.772811e-004	1.033127e-001
9.944224275098895e-003	5.634430e-005	8.760761e-002
9.954224275098894e-003	-1.049001e-004	7.190169e-002
9.964224275098894e-003	-2.218595e-004	5.619506e-002
9.974224275098894e-003	-3.060848e-004	4.048787e-002
9.994224275098893e-003	-4.085953e-004	9.072460e-003
1.002422427509889e-002	-4.710256e-004	-3.805094e-002
1.005422427509889e-002	-4.742242e-004	-8.518142e-002
1.008422427509889e-002	-4.744882e-004	-1.322939e-001
1.011422427509889e-002	-4.718177e-004	-1.793883e-001
1.014422427509889e-002	-4.662125e-004	-2.264647e-001
1.017422427509889e-002	-4.576727e-004	-2.735231e-001
1.020422427509888e-002	-4.461984e-004	-3.205634e-001
1.023422427509888e-002	-4.317894e-004	-3.675858e-001
1.039422427509888e-002	-3.996908e-004	-6.192063e-001
1.055422427509887e-002	-3.717805e-004	-8.677165e-001
1.071422427509886e-002	-3.480586e-004	-1.113116e+000
1.087422427509886e-002	-3.285252e-004	-1.355406e+000
1.103422427509885e-002	-3.131802e-004	-1.594585e+000
1.119422427509884e-002	-3.020235e-004	-1.830654e+000
1.135422427509884e-002	-2.950553e-004	-2.063612e+000
1.178422427509882e-002	-2.709235e-004	-2.658172e+000
1.209136713224166e-002	-2.565628e-004	-3.061117e+000
1.239850998938451e-002	-2.427117e-004	-3.428040e+000
1.270565284652736e-002	-2.293704e-004	-3.758942e+000
1.301279570367020e-002	-2.165387e-004	-4.053821e+000
1.331993856081304e-002	-2.042168e-004	-4.312679e+000
1.362708141795589e-002	-1.924045e-004	-4.535516e+000
1.393422427509873e-002	-1.811019e-004	-4.722330e+000
1.405422427509873e-002	-1.765710e-004	-4.781046e+000
1.417422427509872e-002	-1.720493e-004	-4.832813e+000
1.429422427509872e-002	-1.675367e-004	-4.877631e+000
1.441422427509871e-002	-1.630331e-004	-4.915501e+000
1.453422427509871e-002	-1.585387e-004	-4.946421e+000
1.465422427509870e-002	-1.540534e-004	-4.970393e+000
1.477422427509870e-002	-1.495772e-004	-4.987415e+000
1.478422427509870e-002	-1.492039e-004	-4.988504e+000
1.517708141795583e-002	-1.348195e-004	-4.985207e+000
1.556993856081295e-002	-1.201699e-004	-4.912000e+000
1.596279570367008e-002	-1.052549e-004	-4.768882e+000
1.635565284652721e-002	-9.007470e-005	-4.555854e+000
1.674850998938433e-002	-7.462920e-005	-4.272916e+000
1.714136713224146e-002	-5.891843e-005	-3.920067e+000
1.753422427509859e-002	-4.294239e-005	-3.497308e+000
1.778422427509858e-002	-3.196140e-005	-3.206167e+000
1.799850998938428e-002	-2.334032e-005	-2.937461e+000
1.821279570366999e-002	-1.298977e-005	-2.658740e+000
1.842708141795570e-002	-9.097455e-007	-2.370001e+000
1.864136713224140e-002	1.289976e-005	-2.071247e+000
1.885565284652711e-002	2.843873e-005	-1.762476e+000
